reactants_mapped,reactants,reagents,products_mapped,products,yield,core_index_mapping,core_index_atom
Br[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,CCc1ccc(Br)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1cc(cn1)c2ccccc2,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,CCc1ccc(Nc2ccc(C)cc2)cc1,26.75645727,"{6, 7}",1>0
I[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,CCc1ccc(I)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1cc(cn1)c2ccccc2,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,CCc1ccc(Nc2ccc(C)cc2)cc1,27.04861196,"{6, 7}",1>0
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.Cl[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1,Clc1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,31.29909936,"{6, 7}",5>1
Br[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1,Brc1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,35.2030282,"{6, 7}",1>5
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.I[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1,Ic1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,40.08669181,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.Cl[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1,Clc1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,68.76495224,"{6, 7}",5>1
Br[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1,Brc1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,74.00970333,"{6, 7}",1>5
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.I[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1,Ic1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,70.58038327,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:17][cH:18]1.Cl[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1,FC(F)(F)c1ccc(Cl)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[cH:17][cH:18]1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,12.56300254,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:17][cH:18]1.Br[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1,FC(F)(F)c1ccc(Br)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[cH:17][cH:18]1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,47.02427089,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:17][cH:18]1.I[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1,FC(F)(F)c1ccc(I)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[cH:17][cH:18]1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,48.56121582,"{6, 7}",5>1
Cl[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,COc1ccc(Cl)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,COc1ccc(Nc2ccc(C)cc2)cc1,0.529819216,"{6, 7}",1>0
Br[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,COc1ccc(Br)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,COc1ccc(Nc2ccc(C)cc2)cc1,47.2768797,"{6, 7}",1>0
I[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,COc1ccc(I)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,COc1ccc(Nc2ccc(C)cc2)cc1,55.19349187,"{6, 7}",1>0
Br[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,CCc1ccc(Br)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,CCc1ccc(Nc2ccc(C)cc2)cc1,73.2728017,"{6, 7}",1>0
I[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,CCc1ccc(I)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,CCc1ccc(Nc2ccc(C)cc2)cc1,77.78682066,"{6, 7}",1>0
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.Cl[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1,Clc1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,69.39495874,"{6, 7}",5>1
Br[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1,Brc1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,84.60201966,"{6, 7}",1>5
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.I[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1,Ic1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,85.14015258,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.Cl[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1,Clc1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,12.48383732,"{6, 7}",5>1
Br[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1,Brc1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,78.00495066,"{6, 7}",1>5
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.I[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1,Ic1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)/C(N(C)C)=N\C(C)(C)C.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,83.73721982,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:17][cH:18]1.Cl[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1,FC(F)(F)c1ccc(Cl)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[cH:17][cH:18]1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,26.05284451,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:17][cH:18]1.Br[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1,FC(F)(F)c1ccc(Br)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[cH:17][cH:18]1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,53.83922891,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:17][cH:18]1.I[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1,FC(F)(F)c1ccc(I)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[cH:17][cH:18]1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,52.3137348,"{6, 7}",5>1
Cl[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,COc1ccc(Cl)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,COc1ccc(Nc2ccc(C)cc2)cc1,3.500057239,"{6, 7}",1>0
Br[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,COc1ccc(Br)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,COc1ccc(Nc2ccc(C)cc2)cc1,49.39865649,"{6, 7}",1>0
I[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,COc1ccc(I)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,COc1ccc(Nc2ccc(C)cc2)cc1,56.13504943,"{6, 7}",1>0
Cl[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,CCc1ccc(Cl)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,CCc1ccc(Nc2ccc(C)cc2)cc1,16.2490011,"{6, 7}",1>0
Br[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,CCc1ccc(Br)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,CCc1ccc(Nc2ccc(C)cc2)cc1,79.87241595,"{6, 7}",1>0
I[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[cH:16][cH:15]1.[NH2:7][c:8]1[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]1,CCc1ccc(I)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][c:11]([CH3:12])[cH:13][cH:14]2)[cH:15][cH:16]1,CCc1ccc(Nc2ccc(C)cc2)cc1,81.15116736,"{6, 7}",1>0
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.Cl[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1,Clc1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,88.44637346,"{6, 7}",5>1
Br[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1,Brc1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,93.09950718,"{6, 7}",1>5
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.I[c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1,Ic1ccccn1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][n:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2ccccn2)cc1,99.99999,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.Cl[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1,Clc1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,36.89391539,"{6, 7}",5>1
Br[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1,Brc1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,94.34623373,"{6, 7}",1>5
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:13][cH:14]1.I[c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1,Ic1cccnc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN1CCCN2CCCN=C12.o1cc(cn1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][n:11][cH:12]2)[cH:13][cH:14]1,Cc1ccc(Nc2cccnc2)cc1,93.02887198,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:17][cH:18]1.Cl[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1,FC(F)(F)c1ccc(Cl)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1ccc(n1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[cH:17][cH:18]1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,34.28672739,"{6, 7}",5>1
[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[cH:17][cH:18]1.Br[c:7]1[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1,FC(F)(F)c1ccc(Br)cc1.Nc1ccc(C)cc1,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1ccc(n1)c2ccccc2,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][c:7]2[cH:8][cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[cH:17][cH:18]1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,51.07128287,"{6, 7}",5>1
